battery_id,cycle,shap__cycle,shap__voltage_60s_v,shap__voltage_120s_v,shap__voltage_300s_v,shap__voltage_600s_v,shap__voltage_mean_v,shap__voltage_slope_v_per_s,shap__current_mean_a,shap__current_std_a,shap__temperature_mean_c,shap__temperature_rise_c,shap__ambient_temperature_c,base_value_soh_pct,predicted_soh_pct,additivity_error_pp
B0018,1,4.2361846,-0.13194905,0.032262046,-0.08439795,1.419948,-0.106891066,8.307433,0.3167446,0.0110445805,-0.029068826,-0.00662792,0.0,79.38919,93.35385,2.2888184e-05
B0018,2,4.4682946,0.023522833,0.050510403,0.07338034,1.5161107,0.030020786,8.488373,0.30422252,0.014454285,0.046596367,0.19840379,0.0,79.38919,94.60304,3.8146973e-05
B0018,3,3.8836982,0.036402646,0.053612545,0.1413959,2.243328,0.047572494,7.779714,0.3329042,0.013322772,-0.055507753,0.20472728,0.0,79.38919,94.07034,1.5258789e-05
B0018,4,3.8636963,0.03315424,0.053579405,0.1413959,2.1353598,0.047572494,7.74071,0.3329042,0.01332132,-0.06304127,0.17204574,0.0,79.38919,93.85987,1.5258789e-05
B0018,5,3.8360784,0.04016434,0.05365964,0.16768812,2.3842268,0.14807378,7.8560395,0.34572235,-0.014955312,0.02857617,0.2109808,0.0,79.38919,94.44541,3.0517578e-05
B0018,6,3.8095675,0.041995965,0.049772747,0.18887007,2.5824423,0.14807378,8.004244,0.36945072,0.013803275,-0.006520857,0.21305624,0.0,79.38919,94.803925,2.2888184e-05
B0018,7,3.8048744,0.042473514,0.05365964,0.18915336,2.5933547,0.14075069,7.8639154,0.37576678,-0.007758226,0.03486403,0.19678293,0.0,79.38919,94.677,2.2888184e-05
B0018,8,3.4446318,0.037383065,0.05365964,0.17732123,2.4826767,0.12949087,7.939665,0.38566136,0.012212431,-0.058495462,0.16914785,0.0,79.38919,94.16251,3.0517578e-05
B0018,9,3.2254105,0.03464123,0.05377171,0.15305781,2.4652789,0.12949087,7.9828744,0.39874706,0.012292111,-0.0662344,0.13892618,0.0,79.38919,93.91741,3.8146973e-05
B0018,10,3.0938876,0.036934227,0.05377171,0.17452306,2.4651906,0.12949087,8.00022,0.40936542,0.01232492,-0.0662344,0.1256044,0.0,79.38919,93.824234,3.8146973e-05
B0018,11,2.8380475,0.037876863,0.04963552,0.17452306,2.523301,0.13404153,7.9661746,0.42036954,0.012316763,-0.047340915,0.097544454,0.0,79.38919,93.59565,3.0517578e-05
B0018,12,2.4685857,0.033659004,0.050252635,0.17906965,2.465957,0.12949087,7.887043,0.42585537,0.0056176432,-0.064442955,0.1131611,0.0,79.38919,93.08342,2.2888184e-05
