vehicle,split,segment_id,proxy_capacity_ah,experiment,seed,predicted_ah,absolute_error_ah
17,test,vehicle_017_session_00001,134.2929926729025,train_mean,42,122.89894170937292,11.39405096352958
17,test,vehicle_017_session_00002,133.41650103819444,train_mean,42,122.89894170937292,10.51755932882152
17,test,vehicle_017_session_00003,135.15042679111662,train_mean,42,122.89894170937292,12.251485081743695
17,test,vehicle_017_session_00004,132.17780705662398,train_mean,42,122.89894170937292,9.278865347251056
17,test,vehicle_017_session_00005,135.3447272828864,train_mean,42,122.89894170937292,12.445785573513476
17,test,vehicle_017_session_00006,130.98217438757658,train_mean,42,122.89894170937292,8.083232678203657
17,test,vehicle_017_session_00007,133.0495086738782,train_mean,42,122.89894170937292,10.150566964505273
17,test,vehicle_017_session_00008,133.53871231011289,train_mean,42,122.89894170937292,10.639770600739965
17,test,vehicle_017_session_00009,129.7526459433443,train_mean,42,122.89894170937292,6.853704233971385
17,test,vehicle_017_session_00010,134.08516107253084,train_mean,42,122.89894170937292,11.186219363157917
17,test,vehicle_017_session_00011,133.15309450990435,train_mean,42,122.89894170937292,10.254152800531429
17,test,vehicle_017_session_00012,133.54759621289955,train_mean,42,122.89894170937292,10.648654503526629
17,test,vehicle_017_session_00013,135.0096979775829,train_mean,42,122.89894170937292,12.110756268209983
17,test,vehicle_017_session_00014,133.9791963257576,train_mean,42,122.89894170937292,11.080254616384693
17,test,vehicle_017_session_00015,132.46180618262852,train_mean,42,122.89894170937292,9.562864473255601
17,test,vehicle_017_session_00016,134.3289208639601,train_mean,42,122.89894170937292,11.429979154587173
17,test,vehicle_017_session_00017,132.74817124183008,train_mean,42,122.89894170937292,9.849229532457159
17,test,vehicle_017_session_00018,131.13420373931626,train_mean,42,122.89894170937292,8.235262029943343
17,test,vehicle_017_session_00019,132.6553386814877,train_mean,42,122.89894170937292,9.756396972114786
17,test,vehicle_017_session_00020,132.15474565238657,train_mean,42,122.89894170937292,9.255803943013646
17,test,vehicle_017_session_00021,132.85005247467774,train_mean,42,122.89894170937292,9.951110765304819
17,test,vehicle_017_session_00022,132.40960147946862,train_mean,42,122.89894170937292,9.5106597700957
17,test,vehicle_017_session_00023,138.49682322992152,train_mean,42,122.89894170937292,15.597881520548597
17,test,vehicle_017_session_00024,132.0314280804843,train_mean,42,122.89894170937292,9.13248637111137
17,test,vehicle_017_session_00025,132.64442742742742,train_mean,42,122.89894170937292,9.745485718054496
17,test,vehicle_017_session_00026,132.1559539994856,train_mean,42,122.89894170937292,9.257012290112684
17,test,vehicle_017_session_00027,138.0538357950499,train_mean,42,122.89894170937292,15.154894085676986
17,test,vehicle_017_session_00028,132.61037554802544,train_mean,42,122.89894170937292,9.711433838652525
17,test,vehicle_017_session_00029,135.303701390776,train_mean,42,122.89894170937292,12.404759681403092
17,test,vehicle_017_session_00030,136.3665205143406,train_mean,42,122.89894170937292,13.467578804967687
17,test,vehicle_017_session_00031,139.7506586500975,train_mean,42,122.89894170937292,16.851716940724586
17,test,vehicle_017_session_00032,133.69288649227238,train_mean,42,122.89894170937292,10.793944782899459
17,test,vehicle_017_session_00033,135.04734839302117,train_mean,42,122.89894170937292,12.148406683648247
17,test,vehicle_017_session_00034,132.24487492796985,train_mean,42,122.89894170937292,9.345933218596926
17,test,vehicle_017_session_00035,134.2422353939512,train_mean,42,122.89894170937292,11.343293684578285
17,test,vehicle_017_session_00036,135.00315269483025,train_mean,42,122.89894170937292,12.104210985457328
17,test,vehicle_017_session_00037,134.84920634920633,train_mean,42,122.89894170937292,11.950264639833406
17,test,vehicle_017_session_00038,133.6658002240144,train_mean,42,122.89894170937292,10.76685851464147
17,test,vehicle_017_session_00039,136.2289431607744,train_mean,42,122.89894170937292,13.330001451401486
17,test,vehicle_017_session_00040,133.49390721450618,train_mean,42,122.89894170937292,10.59496550513326
17,test,vehicle_017_session_00041,133.10311115451395,train_mean,42,122.89894170937292,10.204169445141034
17,test,vehicle_017_session_00042,134.0632486155818,train_mean,42,122.89894170937292,11.164306906208893
17,test,vehicle_017_session_00043,133.77743529136472,train_mean,42,122.89894170937292,10.878493581991805
17,test,vehicle_017_session_00044,135.12506560019844,train_mean,42,122.89894170937292,12.22612389082552
17,test,vehicle_017_session_00045,134.8830849134461,train_mean,42,122.89894170937292,11.984143204073192
17,test,vehicle_017_session_00046,131.6727427248677,train_mean,42,122.89894170937292,8.773801015494783
17,test,vehicle_017_session_00047,133.1739553902116,train_mean,42,122.89894170937292,10.275013680838683
17,test,vehicle_017_session_00048,133.74382349766228,train_mean,42,122.89894170937292,10.844881788289356
17,test,vehicle_017_session_00049,132.81470402018226,train_mean,42,122.89894170937292,9.915762310809342
17,test,vehicle_017_session_00050,132.63888888888889,train_mean,42,122.89894170937292,9.739947179515966
17,test,vehicle_017_session_00051,133.39711805964055,train_mean,42,122.89894170937292,10.498176350267627
17,test,vehicle_017_session_00052,135.7345491518236,train_mean,42,122.89894170937292,12.835607442450666
17,test,vehicle_017_session_00053,135.01663055771223,train_mean,42,122.89894170937292,12.117688848339313
17,test,vehicle_017_session_00054,133.99181118320388,train_mean,42,122.89894170937292,11.092869473830959
17,test,vehicle_017_session_00055,135.3430511226852,train_mean,42,122.89894170937292,12.44410941331229
17,test,vehicle_017_session_00056,134.77111845414203,train_mean,42,122.89894170937292,11.872176744769106
17,test,vehicle_017_session_00057,133.96714150297618,train_mean,42,122.89894170937292,11.068199793603256
17,test,vehicle_017_session_00058,136.29372346887553,train_mean,42,122.89894170937292,13.394781759502607
17,test,vehicle_017_session_00059,133.48174288065843,train_mean,42,122.89894170937292,10.58280117128551
17,test,vehicle_017_session_00060,130.79880601786834,train_mean,42,122.89894170937292,7.899864308495424
17,test,vehicle_017_session_00061,132.44876640745008,train_mean,42,122.89894170937292,9.54982469807716
17,test,vehicle_017_session_00062,133.39127641018086,train_mean,42,122.89894170937292,10.492334700807945
17,test,vehicle_017_session_00063,131.64107441319442,train_mean,42,122.89894170937292,8.742132703821497
17,test,vehicle_017_session_00064,133.72304005366166,train_mean,42,122.89894170937292,10.824098344288743
17,test,vehicle_017_session_00065,133.59130722609683,train_mean,42,122.89894170937292,10.69236551672391
17,test,vehicle_017_session_00066,130.62293427083333,train_mean,42,122.89894170937292,7.723992561460406
17,test,vehicle_017_session_00067,133.1752949667126,train_mean,42,122.89894170937292,10.276353257339693
17,test,vehicle_017_session_00068,135.5353123507554,train_mean,42,122.89894170937292,12.63637064138247
17,test,vehicle_017_session_00069,133.31801371913582,train_mean,42,122.89894170937292,10.4190720097629
17,test,vehicle_017_session_00070,130.81645936044578,train_mean,42,122.89894170937292,7.917517651072856
17,test,vehicle_017_session_00071,132.3275727841981,train_mean,42,122.89894170937292,9.42863107482519
17,test,vehicle_017_session_00072,133.04818556022968,train_mean,42,122.89894170937292,10.149243850856763
17,test,vehicle_017_session_00073,131.85788956163194,train_mean,42,122.89894170937292,8.958947852259016
17,test,vehicle_017_session_00074,135.99884455613832,train_mean,42,122.89894170937292,13.099902846765403
17,test,vehicle_017_session_00075,130.68435482905983,train_mean,42,122.89894170937292,7.785413119686908
17,test,vehicle_017_session_00076,136.12844281588005,train_mean,42,122.89894170937292,13.22950110650713
17,test,vehicle_017_session_00077,131.86744695937173,train_mean,42,122.89894170937292,8.968505249998813
17,test,vehicle_017_session_00078,133.4550284391535,train_mean,42,122.89894170937292,10.556086729780574
17,test,vehicle_017_session_00079,131.957595472608,train_mean,42,122.89894170937292,9.058653763235085
17,test,vehicle_017_session_00080,134.55642605802794,train_mean,42,122.89894170937292,11.657484348655018
17,test,vehicle_017_session_00081,130.7602030474291,train_mean,42,122.89894170937292,7.861261338056167
17,test,vehicle_017_session_00082,132.99676030465952,train_mean,42,122.89894170937292,10.097818595286597
17,test,vehicle_017_session_00083,132.91096797966003,train_mean,42,122.89894170937292,10.012026270287109
17,test,vehicle_017_session_00084,130.73218599033817,train_mean,42,122.89894170937292,7.833244280965246
17,test,vehicle_017_session_00085,130.5039526352291,train_mean,42,122.89894170937292,7.6050109258561776
17,test,vehicle_017_session_00086,132.11574794294296,train_mean,42,122.89894170937292,9.21680623357004
17,test,vehicle_017_session_00087,134.90518777243594,train_mean,42,122.89894170937292,12.006246063063017
17,test,vehicle_017_session_00088,132.10811682133837,train_mean,42,122.89894170937292,9.20917511196545
17,test,vehicle_017_session_00089,134.51665612509996,train_mean,42,122.89894170937292,11.617714415727036
17,test,vehicle_017_session_00090,131.43323051132342,train_mean,42,122.89894170937292,8.534288801950495
17,test,vehicle_017_session_00091,133.5084213435374,train_mean,42,122.89894170937292,10.609479634164487
17,test,vehicle_017_session_00092,133.44830823885113,train_mean,42,122.89894170937292,10.549366529478206
17,test,vehicle_017_session_00093,130.85358045446557,train_mean,42,122.89894170937292,7.954638745092652
17,test,vehicle_017_session_00094,133.83422632932357,train_mean,42,122.89894170937292,10.93528461995065
17,test,vehicle_017_session_00095,131.7267835506273,train_mean,42,122.89894170937292,8.827841841254369
17,test,vehicle_017_session_00096,130.3520736882716,train_mean,42,122.89894170937292,7.453131978898668
17,test,vehicle_017_session_00097,131.4224596673977,train_mean,42,122.89894170937292,8.523517958024783
17,test,vehicle_017_session_00098,130.96774040032687,train_mean,42,122.89894170937292,8.068798690953955
17,test,vehicle_017_session_00099,131.88864689173363,train_mean,42,122.89894170937292,8.989705182360709
17,test,vehicle_017_session_00100,130.89947457997312,train_mean,42,122.89894170937292,8.000532870600196
17,test,vehicle_017_session_00101,130.9868585793473,train_mean,42,122.89894170937292,8.087916869974393
17,test,vehicle_017_session_00102,135.8714322974059,train_mean,42,122.89894170937292,12.972490588032983
17,test,vehicle_017_session_00103,128.6660177472222,train_mean,42,122.89894170937292,5.767076037849293
17,test,vehicle_017_session_00104,131.4703510438925,train_mean,42,122.89894170937292,8.571409334519572
17,test,vehicle_017_session_00105,131.42476146648409,train_mean,42,122.89894170937292,8.525819757111165
17,test,vehicle_017_session_00106,133.47000497524436,train_mean,42,122.89894170937292,10.571063265871445
17,test,vehicle_017_session_00107,134.54243191807316,train_mean,42,122.89894170937292,11.643490208700243
17,test,vehicle_017_session_00108,132.62464643750002,train_mean,42,122.89894170937292,9.725704728127099
17,test,vehicle_017_session_00109,130.74983392551368,train_mean,42,122.89894170937292,7.850892216140764
17,test,vehicle_017_session_00110,131.0036218710986,train_mean,42,122.89894170937292,8.104680161725682
17,test,vehicle_017_session_00111,129.06158634982646,train_mean,42,122.89894170937292,6.162644640453536
17,test,vehicle_017_session_00112,131.64040057802285,train_mean,42,122.89894170937292,8.741458868649929
17,test,vehicle_017_session_00113,132.6682949900794,train_mean,42,122.89894170937292,9.769353280706483
17,test,vehicle_017_session_00114,130.7411115114796,train_mean,42,122.89894170937292,7.842169802106682
17,test,vehicle_017_session_00115,133.77359167884993,train_mean,42,122.89894170937292,10.874649969477005
17,test,vehicle_017_session_00116,131.54980631494806,train_mean,42,122.89894170937292,8.650864605575137
