route_id,route_name,carbon_kgco2e,npv_cny,recovered_kg,technical_score,eligible,weighted_score,pareto_optimal,scenario_id,reason_codes
continue_use,继续使用,903.7885,1678.6452607156766,0.0,90.0,True,0.48733950695241807,True,DEMO_ALL_EVIDENCE,
repair_then_use,检修后使用,711.9159999999999,3070.982810885874,0.0,85.0,True,0.5578430082902901,True,DEMO_ALL_EVIDENCE,
second_life,梯次利用,862.8399999999999,2371.898253992447,0.0,70.0,True,0.49401595343979865,False,DEMO_ALL_EVIDENCE,
recycle,再生利用,1451.47,62.41917729343436,53.6,95.0,True,0.3933038447278249,True,DEMO_ALL_EVIDENCE,
continue_use,继续使用,903.7885,1678.6452607156766,0.0,90.0,False,,False,DEMO_MISSING_EVIDENCE,critical_event_status_unknown|electrical_pass_unknown|thermal_pass_unknown|mechanical_pass_unknown
repair_then_use,检修后使用,711.9159999999999,3070.982810885874,0.0,85.0,False,,False,DEMO_MISSING_EVIDENCE,critical_event_status_unknown|post_repair_pass_unknown
second_life,梯次利用,862.8399999999999,2371.898253992447,0.0,70.0,False,,False,DEMO_MISSING_EVIDENCE,critical_event_status_unknown|electrical_pass_unknown|thermal_pass_unknown|mechanical_pass_unknown|second_life_approved_unknown
recycle,再生利用,1451.47,62.41917729343436,53.6,95.0,False,,False,DEMO_MISSING_EVIDENCE,critical_event_status_unknown|recycler_approved_unknown|transport_approved_unknown
continue_use,继续使用,903.7885,1678.6452607156766,0.0,90.0,False,,False,DEMO_CRITICAL_HOLD,critical_event_professional_hold
repair_then_use,检修后使用,711.9159999999999,3070.982810885874,0.0,85.0,False,,False,DEMO_CRITICAL_HOLD,critical_event_professional_hold
second_life,梯次利用,862.8399999999999,2371.898253992447,0.0,70.0,False,,False,DEMO_CRITICAL_HOLD,critical_event_professional_hold
recycle,再生利用,1451.47,62.41917729343436,53.6,95.0,False,,False,DEMO_CRITICAL_HOLD,critical_event_professional_hold
continue_use,继续使用,903.7885,1678.6452607156766,0.0,90.0,True,0.48733950695241807,True,DEMO_REPAIR_PENDING,
repair_then_use,检修后使用,711.9159999999999,3070.982810885874,0.0,85.0,False,,False,DEMO_REPAIR_PENDING,post_repair_pass_unknown
second_life,梯次利用,862.8399999999999,2371.898253992447,0.0,70.0,True,0.49401595343979865,True,DEMO_REPAIR_PENDING,
recycle,再生利用,1451.47,62.41917729343436,53.6,95.0,True,0.3933038447278249,True,DEMO_REPAIR_PENDING,
continue_use,继续使用,903.7885,1678.6452607156766,0.0,90.0,False,,False,DEMO_LOW_RUL,rul_below_demo_service_threshold_or_missing|declared_service_exceeds_soh_rul_envelope_or_units_missing
repair_then_use,检修后使用,711.9159999999999,3070.982810885874,0.0,85.0,False,,False,DEMO_LOW_RUL,rul_below_demo_service_threshold_or_missing|declared_service_exceeds_soh_rul_envelope_or_units_missing
second_life,梯次利用,862.8399999999999,2371.898253992447,0.0,70.0,False,,False,DEMO_LOW_RUL,declared_service_exceeds_soh_rul_envelope_or_units_missing
recycle,再生利用,1451.47,62.41917729343436,53.6,95.0,True,0.3933038447278249,True,DEMO_LOW_RUL,
