dataset_id,battery_id,cycle,source_cycle_key,phase,capacity_ah,rated_capacity_ah,soh_pct,sample_count,discharge_duration_s,feature_eligible,exclusion_reason,voltage_60s_v,voltage_120s_v,voltage_300s_v,voltage_600s_v,voltage_mean_v,voltage_slope_v_per_s,temperature_mean_c,temperature_rise_c
oxford_degradation_1,Cell1,0,cyc0000,C1dc,0.7391109210621779,0.74,99.87985419759161,3608,3606.3301473855972,True,,4.141789897704732,4.119011899140267,4.062589199059657,3.9731228,4.055190117473511,-0.00030110136771132495,40.20732257463231,0.2870788660998187
oxford_degradation_1,Cell1,100,cyc0100,C1dc,0.7301929494056871,0.74,98.67472289266043,3565,3563.54404874146,True,,4.141950105926171,4.119492940664298,4.0625890812927965,3.9702356,4.054602283813435,-0.00030631101164176386,40.074557840733675,0.1997284575866658
oxford_degradation_1,Cell1,200,cyc0200,C1dc,0.7257467375962049,0.74,98.07388345894661,3544,3542.1407349407673,True,,4.142150383166186,4.11933279325975,4.061987761926667,3.9686315,4.054107225383697,-0.0003092701177611472,40.066158561636065,0.06241319727575956
oxford_degradation_1,Cell1,300,cyc0300,C1dc,0.7228431973239305,0.74,97.6815131518825,3530,3528.063764423132,True,,4.1416931007823745,4.118835400932734,4.061410000538228,3.9665701,4.053136739637774,-0.0003118851498501216,40.07319840570766,0.16225808081078696
oxford_degradation_1,Cell1,400,cyc0400,C1dc,0.7183668958430143,0.74,97.07660754635327,3507,3505.8897145092487,True,,4.141853764369343,4.1189155406500975,4.061129025905101,3.9656477,4.052793921110839,-0.00031448362915449484,40.07319932522322,0.2371700749050376
oxford_degradation_1,Cell1,500,cyc0500,C1dc,0.7149787006955093,0.74,96.61874333723098,3491,3489.7134091705084,True,,4.141492786494289,4.118554566332373,4.060768410036221,3.9642842,4.052077179778,-0.00031681616683526217,40.08046431783313,0.22466180591787577
oxford_degradation_1,Cell1,600,cyc0600,C1dc,0.7116204053941345,0.74,96.16491964785602,3475,3473.900831490755,True,,4.141332069669184,4.118354198863665,4.060286747324705,3.963001,4.051250335822617,-0.00031908782527238533,40.04301591949099,0.1996949999999984
oxford_degradation_1,Cell1,700,cyc0700,C1dc,0.7095321170323996,0.74,95.88271851789185,3455,3453.594956919551,True,,4.140610698422511,4.1173120012814195,4.05884359780641,3.9607155,4.049827520493529,-0.0003225115097539912,40.11041683863332,0.13728704470685216
oxford_degradation_1,Cell1,800,cyc0800,C1dc,0.7058480111354505,0.74,95.38486636965547,3437,3435.6123950332403,True,,4.140490473298934,4.117432034730728,4.058523125719394,3.9597931,4.049296590269518,-0.00032462898933734147,40.13469735807698,0.23717100000000357
oxford_degradation_1,Cell1,900,cyc0900,C1dc,0.7025449768529222,0.74,94.93851038553002,3421,3419.680304825306,True,,4.140209656196785,4.117151185466192,4.057360217210935,3.9587905,4.048364737146024,-0.0003271306390300257,40.11790505891984,0.18723214640202457
oxford_degradation_1,Cell1,1000,cyc1000,C1dc,0.6994156477527363,0.74,94.5156280746941,3406,3404.668738692999,True,,4.1399692359682785,4.1163892394049935,4.057239264175328,3.9575875,4.047494187171992,-0.00032947991746252374,40.089993944263874,0.16225590138323298
oxford_degradation_1,Cell1,1100,cyc1100,C1dc,0.6962835912151658,0.74,94.09237719123863,3391,3389.4352667033672,True,,4.139407913062096,4.116029209452926,4.056358232080747,3.9567053,4.046657443771527,-0.00033188497259510527,40.18053392325153,0.14983783910396653
oxford_degradation_1,Cell1,1200,cyc1200,C1dc,0.6932672854322546,0.74,93.68476830165604,3376,3374.807343631983,True,,4.1393276473260405,4.115628057372946,4.055515670505336,3.9554622,4.0456549300608895,-0.00033404228604392243,40.151511045818076,0.19974544680633954
oxford_degradation_1,Cell1,1300,cyc1300,C1dc,0.6903687943593547,0.74,93.29308031883173,3362,3360.6548454612494,True,,4.138726494468439,4.1150663606537785,4.05447363893566,3.9543796,4.044565601062732,-0.0003364165780738441,40.1462832360205,0.18720881395145028
oxford_degradation_1,Cell1,1400,cyc1400,C1dc,0.6876192406848993,0.74,92.92151901147288,3349,3347.313306480646,True,,4.138605926734168,4.114705694062124,4.053432464102375,3.9531362,4.043642325369637,-0.0003383859333682802,40.130855379778204,0.17472500444793582
oxford_degradation_1,Cell1,1600,cyc1600,C1dc,0.6818263154580586,0.74,92.13869127811603,3320,3318.777160719037,True,,4.137155998852378,4.1133356009324435,4.051097897175871,3.9505236,4.041124475358317,-0.00034304095981277827,0.5204585176550575,0.0002673899999999785
oxford_degradation_1,Cell1,1800,cyc1800,C1dc,0.6758871270316636,0.74,91.33609824752212,3291,3289.6823577582836,True,,4.136273898277672,4.112012396558921,4.048772294038819,3.9489596,4.038839398148335,-0.00034554550538034635,40.14218811218839,0.1747616429138077
oxford_degradation_1,Cell1,1900,cyc1900,C1dc,0.6727432856431239,0.74,90.91125481663836,3276,3274.7545670717955,True,,4.135891001820139,4.1114292011651905,4.047026200538228,3.9476547,4.0376293528180085,-0.0003477100058984087,40.0532290105516,0.14979075708798462
