battery_id,timestamp,pack_voltage,pack_current,SOC,cell_voltage_max,cell_voltage_min,temperature_max,temperature_min,charge_status,mileage
SYNTHETIC_PACK_001,2026-01-01T00:00:00+08:00,320.0,10.0,60.0,3.4,3.3,30,25,discharging,100.0
SYNTHETIC_PACK_001,2026-01-01T00:00:10+08:00,319.9,10.0,59.99,3.4,3.3,30,25,discharging,100.01
SYNTHETIC_PACK_001,2026-01-01T00:00:20+08:00,319.8,10.0,59.98,3.4,3.3,30,25,discharging,100.02
SYNTHETIC_PACK_001,2026-01-01T00:00:30+08:00,319.7,10.0,59.97,3.4,3.3,30,25,discharging,100.03
SYNTHETIC_PACK_001,2026-01-01T00:00:40+08:00,319.6,10.0,59.96,3.4,3.3,30,25,discharging,100.04
SYNTHETIC_PACK_001,2026-01-01T00:00:50+08:00,319.5,10.0,59.95,3.4,3.3,30,25,discharging,100.05
SYNTHETIC_PACK_001,2026-01-01T00:01:00+08:00,319.4,10.0,59.94,3.4,3.3,30,25,discharging,100.06
SYNTHETIC_PACK_001,2026-01-01T00:01:10+08:00,319.3,10.0,59.93,3.4,3.3,30,25,discharging,100.07
SYNTHETIC_PACK_001,2026-01-01T00:01:20+08:00,319.2,10.0,59.92,3.4,3.3,30,25,discharging,100.08
SYNTHETIC_PACK_001,2026-01-01T00:01:30+08:00,319.1,10.0,59.91,3.4,3.3,30,25,discharging,100.09
SYNTHETIC_PACK_001,2026-01-01T00:01:40+08:00,319.0,10.0,59.9,3.4,3.3,30,25,discharging,100.1
SYNTHETIC_PACK_001,2026-01-01T00:01:50+08:00,318.9,10.0,59.89,3.4,3.3,30,25,discharging,100.11
