segment_id,vehicle,session_index,split,proxy_capacity_ah,soc_start,voltage_start,voltage_60,voltage_300,voltage_600,current_mean,tmax_mean,temperature_rise,cell_gap_mean,cell_gap_max
vehicle_012_session_00001,vehicle_012,1,train,133.6750256644144,14.4,323.8,324.9,326.7,328.2,-52.12534346666667,32.093333333333334,1,0.019760000000000003,0.02200000000000024
vehicle_012_session_00002,vehicle_012,2,train,131.21926661484244,32.4,328.3,328.8,329.6,330.0,-26.06448342105264,35.0,0,0.010013157894736856,0.01100000000000012
vehicle_012_session_00003,vehicle_012,3,train,133.7145749872579,6.8,320.3,322.25,325.2,327.5,-73.5,38.89473684210526,1,0.02764473684210524,0.02900000000000036
vehicle_012_session_00004,vehicle_012,4,train,134.5909561635735,6.0,319.7,321.5,324.5,327.1,-74.30001684210526,40.0,0,0.028328947368421023,0.03000000000000025
vehicle_012_session_00005,vehicle_012,5,train,134.96784301146388,45.6,332.2,334.0,335.8888888888889,338.5,-44.86934360000001,37.0,0,0.017346666666666663,0.020000000000000018
vehicle_012_session_00006,vehicle_012,6,train,133.31277482026147,40.8,331.4,332.29999999999995,333.70000000000005,335.3,-45.20527368421053,37.53947368421053,1,0.016776315789473677,0.018999999999999684
vehicle_012_session_00007,vehicle_012,7,train,135.23826733630955,21.2,325.3,325.9,326.6,327.2,-25.807912368421043,35.0,0,0.01027631578947368,0.01200000000000001
vehicle_012_session_00008,vehicle_012,8,train,134.31610810800828,12.8,323.6,324.95,327.5,329.2,-74.23685578947368,34.89473684210526,1,0.02722368421052631,0.028999999999999915
vehicle_012_session_00009,vehicle_012,9,train,136.74690546401519,55.6,343.9,344.65,347.5,351.4,-74.21843302631578,39.53947368421053,1,0.027263157894736854,0.02900000000000036
vehicle_012_session_00010,vehicle_012,10,train,134.7847068481848,18.8,326.6,327.9,329.5,330.7,-75.0118432894737,36.86842105263158,1,0.026868421052631618,0.02900000000000036
vehicle_012_session_00011,vehicle_012,11,train,133.5075913117284,0.4,315.8,317.1,319.29999999999995,321.6,-45.20264184210527,38.276315789473685,0,0.020565789473684225,0.02200000000000024
vehicle_012_session_00012,vehicle_012,12,train,136.09051568035434,72.0,355.7,357.15,359.3,361.9,-45.00395750000001,41.0,0,0.017999999999999974,0.019000000000000128
vehicle_012_session_00013,vehicle_012,13,train,131.45657676587302,27.6,327.7,328.55,329.6,330.5,-45.107904736842116,30.88157894736842,1,0.01635526315789475,0.018000000000000238
vehicle_012_session_00014,vehicle_012,14,train,134.56736652369278,58.4,344.7,345.2,347.1,349.4,-45.100010000000005,33.8421052631579,1,0.017684210526315764,0.019000000000000128
vehicle_012_session_00015,vehicle_012,15,train,131.7907989800347,23.6,327.1,327.75,328.8,329.6,-45.01052736842105,30.763157894736842,1,0.016447368421052665,0.018000000000000238
