segment_id,vehicle,session_index,split,proxy_capacity_ah,soc_start,voltage_start,voltage_60,voltage_300,voltage_600,current_mean,tmax_mean,temperature_rise,cell_gap_mean,cell_gap_max
vehicle_005_session_00001,vehicle_005,1,train,133.9646675482663,10.8,321.4,322.5,324.4,326.1,-44.554676666666666,36.0,0,0.015199999999999972,0.016999999999999904
vehicle_005_session_00002,vehicle_005,2,train,133.1379364963108,41.6,332.1,332.8,334.29999999999995,336.4,-52.200010000000006,41.0,0,0.01864473684210529,0.020000000000000018
vehicle_005_session_00003,vehicle_005,3,train,135.43094150474957,22.4,328.0,329.1,330.375,331.6,-74.75334813333332,35.04,2,0.024413333333333356,0.026000000000000245
vehicle_005_session_00004,vehicle_005,4,train,134.0642199096548,35.6,329.4,330.3,331.3,332.4,-39.12632605263158,37.0,0,0.013736842105263188,0.015000000000000124
vehicle_005_session_00005,vehicle_005,5,train,134.17748412500003,41.6,332.8,333.8,336.0,339.3,-71.17734333333333,37.333333333333336,1,0.024679999999999976,0.026000000000000245
vehicle_005_session_00006,vehicle_005,6,train,133.96183967126626,37.6,333.3,333.6,335.1,337.4,-74.34211263157894,31.57894736842105,1,0.025249999999999977,0.026000000000000245
vehicle_005_session_00007,vehicle_005,7,train,132.35877932098765,11.6,321.4,323.1,324.9,326.6,-44.85527315789474,36.0,0,0.015592105263157895,0.017000000000000348
vehicle_005_session_00008,vehicle_005,8,train,135.946487795398,72.8,356.4,357.9,361.35,365.7,-69.949995,38.973684210526315,1,0.026289473684210554,0.027000000000000135
vehicle_005_session_00009,vehicle_005,9,train,138.12844394736845,61.6,347.2,348.85,352.275,356.3,-74.68267706666667,36.96,1,0.02652,0.028000000000000025
vehicle_005_session_00010,vehicle_005,10,train,132.20141708842354,17.6,326.1,327.6,329.29999999999995,330.5,-70.20790710526315,29.61842105263158,1,0.02292105263157897,0.02400000000000002
vehicle_005_session_00011,vehicle_005,11,train,134.34854577978166,19.2,326.9,328.25,329.7,331.0,-73.48684065789473,28.973684210526315,1,0.023736842105263178,0.025000000000000355
vehicle_005_session_00012,vehicle_005,12,train,134.65501256330575,27.2,328.8,330.0,331.4,332.8,-74.04210934210526,33.25,1,0.02450000000000002,0.026000000000000245
vehicle_005_session_00013,vehicle_005,13,train,133.88035386574074,38.8,330.8,331.4,332.7,334.1,-44.600010000000005,34.0,0,0.015763157894736864,0.017999999999999794
vehicle_005_session_00014,vehicle_005,14,train,132.11924304835924,22.4,326.4,327.7,328.8,329.7,-44.860526842105266,29.776315789473685,1,0.014881578947368454,0.016999999999999904
vehicle_005_session_00015,vehicle_005,15,train,133.27554397119343,20.4,326.0,326.79999999999995,328.0,328.8,-45.20267693333334,34.96,1,0.015093333333333323,0.016999999999999904
vehicle_005_session_00016,vehicle_005,16,train,131.55550373134326,22.8,326.0,326.4,327.1,327.7,-22.44,36.0,0,0.008559999999999957,0.009999999999999787
vehicle_005_session_00017,vehicle_005,17,train,132.61968181075463,8.0,320.0,321.1,323.075,324.9,-45.119746842105265,35.44736842105263,0,0.015631578947368413,0.017000000000000348
vehicle_005_session_00018,vehicle_005,18,train,136.53270849756007,40.4,330.5,331.05,331.9,332.7,-26.074676666666672,36.0,0,0.010440000000000022,0.01200000000000001
vehicle_005_session_00019,vehicle_005,19,train,131.6417392578125,26.4,327.7,328.3,329.2,330.0,-45.10395736842106,36.35526315789474,1,0.015078947368421063,0.017000000000000348
vehicle_005_session_00020,vehicle_005,20,train,136.70946747685187,51.6,338.3,339.6,341.8,344.1,-45.100009868421054,33.51315789473684,1,0.01740789473684213,0.020000000000000018
vehicle_005_session_00021,vehicle_005,21,train,134.91229358407082,49.6,334.9,335.7,337.2,338.9,-26.021062631578953,41.973684210526315,0,0.014947368421052598,0.016999999999999904
vehicle_005_session_00022,vehicle_005,22,train,135.20936557328605,24.4,326.4,326.9,327.5,328.2,-26.002631842105263,38.44736842105263,-1,0.009513157894736805,0.01100000000000012
vehicle_005_session_00023,vehicle_005,23,train,136.01560072345285,4.8,317.8,318.8625,321.1,323.0,-45.100010000000005,44.0,0,0.017210526315789496,0.019000000000000128
vehicle_005_session_00024,vehicle_005,24,train,133.88522792792793,9.2,322.4,322.75,324.15,325.7,-45.19737842105264,38.0,0,0.015802631578947388,0.017000000000000348
vehicle_005_session_00025,vehicle_005,25,train,135.0916822777778,47.6,335.3,335.75,336.6,337.8,-22.600010000000008,41.0,0,0.01334210526315788,0.01599999999999957
vehicle_005_session_00026,vehicle_005,26,train,135.79317776741294,68.0,350.5,351.35,352.5,353.8,-22.615799605263156,34.61842105263158,-1,0.012460526315789491,0.014000000000000234
vehicle_005_session_00027,vehicle_005,27,train,136.86445710125446,50.0,336.1,337.45,340.5,343.2,-50.722381447368434,41.0,0,0.01999999999999999,0.02200000000000024
vehicle_005_session_00028,vehicle_005,28,train,135.77801280791405,14.8,327.2,327.45,328.675,329.9,-73.50400040000001,38.0,0,0.024773333333333376,0.027000000000000135
